route_id,direction_id,direction
9629,1,Westbound
9627,1,Southbound
9623,0,Eastbound
9622,1,Westbound
9621,0,Eastbound
9620,1,Westbound
9619,0,Northbound
9618,1,Southbound
9617,0,Eastbound
9614,0,Northbound
9612,1,Westbound
9611,0,Eastbound
9610,1,Westbound
9609,0,Eastbound
9606,0,Eastbound
9605,0,Northbound
9601,0,Northbound
9600,1,Southbound
9599,0,Northbound
9598,1,Southbound
9593,1,Westbound
9589,0,Northbound
9588,1,Westbound
9587,0,Eastbound
9586,1,Westbound
9584,0,Eastbound
9583,1,Southbound
9582,0,Northbound
9581,1,Westbound
9580,0,Eastbound
9579,0,Eastbound
9578,1,Westbound
9577,0,Eastbound
9576,1,Westbound
9575,0,Eastbound
9574,1,Southbound
9573,0,Northbound
9572,1,Westbound
9571,0,Northbound
9570,,Loop
9569,1,Westbound
9568,1,Westbound
9567,0,Northbound
9687,,Loop
9668,1,Westbound
9666,1,Southbound
9665,0,Eastbound
9664,1,Southbound
9663,0,Northbound
9658,1,Southbound
9657,0,Northbound
9656,0,Eastbound
9652,0,Eastbound
9651,1,Westbound
9650,0,Eastbound
9649,1,Southbound
9648,0,Northbound
9647,1,Southbound
9646,0,Northbound
9645,0,Northbound
9644,1,Southbound
9643,1,Southbound
9642,0,Northbound
9641,0,Northbound
9640,1,Southbound
9638,0,Eastbound
9637,0,Eastbound
9636,1,Southbound
9635,0,Northbound
9634,0,Eastbound
9633,1,Westbound
9632,1,Southbound
9631,0,Northbound
9566,0,Northbound
9565,1,Southbound
9564,0,Northbound
9563,1,Southbound
9561,0,Northbound
9560,1,Southbound
9559,0,Northbound
9556,1,Southbound
9554,1,Westbound
9553,1,Southbound
9552,0,Northbound
9549,0,Northbound
9548,1,Southbound
9547,0,Eastbound
9546,1,Westbound
9544,0,Eastbound
9543,1,Westbound
9542,0,Northbound
9541,1,Southbound
9540,0,Eastbound
9539,1,Westbound
9538,1,Westbound
9535,0,Northbound
9534,,Loop
9532,1,Westbound
9531,0,Eastbound
9530,1,Southbound
9529,0,Northbound
9527,0,Eastbound
9526,0,Northbound
9525,1,Southbound
9523,,Loop
9522,,Loop
9521,,Loop
9516,1,Southbound
9515,0,Northbound
9514,0,Northbound
9513,1,Southbound
9512,0,Northbound
9511,1,Southbound
9510,1,Southbound
9509,0,Northbound
