route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9509,c_5988_b_6309_d_31,t_201970_b_6309_tn_0,Praçã x Vicentina,,0,12506,p_176658,,,,,,,,,,
9510,c_5988_b_6309_d_31,t_201977_b_6309_tn_0,,,1,12506,p_176659,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_202007_b_6309_tn_0,,,1,12517,p_176670,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_204816_b_6309_tn_0,,,1,12513,p_176666,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_212739_b_6309_tn_0,,1º de Maio,1,12506,p_176660,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214345_b_6309_tn_0,,,1,12513,p_176667,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214346_b_6309_tn_0,,,1,12519,p_176671,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214347_b_6309_tn_0,,,1,12520,p_176662,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214348_b_6309_tn_0,,,1,12520,p_177079,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214349_b_6309_tn_0,,,1,12521,p_176682,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214350_b_6309_tn_0,,,1,12524,p_176673,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214576_b_6309_tn_0,,,1,12524,p_176663,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214577_b_6309_tn_0,,,1,12525,p_176674,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214578_b_6309_tn_0,,,1,12525,p_176675,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214579_b_6309_tn_0,,,1,12526,p_176677,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214737_b_6309_tn_0,,,1,12527,p_176678,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214746_b_6309_tn_0,,,1,12530,p_176679,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214747_b_6309_tn_0,,,1,12530,p_176680,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214748_b_6309_tn_0,,,1,12531,p_176664,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_214749_b_6309_tn_0,,,1,12532,p_176681,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_236237_b_6309_tn_0,,,1,12520,p_176662,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_240768_b_6309_tn_0,,1º de Maio,1,12520,p_176660,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_240771_b_6309_tn_0,,,1,12523,p_176682,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_240772_b_6309_tn_0,,,1,12525,p_176682,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_535755_b_6309_tn_0,,1º de Maio,1,12516,p_176669,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_538308_b_6309_tn_0,,1º de Maio,1,12526,p_176676,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_540077_b_6309_tn_0,,1º de Maio,1,12517,p_176661,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_540078_b_6309_tn_0,,1º de Maio,1,12517,p_176661,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_540079_b_6309_tn_0,,1º de Maio,1,12517,p_176661,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_540212_b_6309_tn_0,,1º de Maio,1,12510,p_176665,,,,,,,,,,
9511,c_5988_b_6309_d_31,t_201989_b_6309_tn_0,,,1,12513,p_176668,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_540089_b_6309_tn_0,,Praça,0,12517,p_176685,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_540213_b_6309_tn_0,,Praça,0,12510,p_176689,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_540090_b_6309_tn_0,,Praça,0,12517,p_176685,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_201993_b_6309_tn_0,,,0,12513,p_176693,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_202013_b_6309_tn_0,,,0,12517,p_176695,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_204817_b_6309_tn_0,,,0,12513,p_176691,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_216421_b_6309_tn_0,,,0,12506,p_176684,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_216423_b_6309_tn_0,,,0,12519,p_176697,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_216551_b_6309_tn_0,,,0,12520,p_176698,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_225245_b_6309_tn_0,,,0,12524,p_176700,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_225246_b_6309_tn_0,,,0,12524,p_176687,,,,,,,,,,
9512,c_5988_b_6309_d_31,t_225493_b_6309_tn_0,,,0,12525,p_176701,,,,,,,,,,
