agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted
787,9615,141,Praça x São João,,3,,bfbfbf,000000,1,,0
787,9683,150,São José x 1º de Maio x Centro,,3,,cd0000,ffffff,3,,0
787,9545,86,Ipanema x Medianeira x Praça,,3,,c1cdc1,000000,4,,0
787,9509,144,Praça x Vicentina,,3,,474747,ffffff,,,0
787,9510,158,Vicentina x Praça,,3,,7cfc00,000000,,,0
787,9511,101,Praça x 1º de Maio,,3,,e0eeee,000000,,,0
787,9512,6,1º de Maio x Praça,,3,,2e2e2e,ffffff,,,0
787,9513,143,Praça x São José x São Luiz,,3,,bbffff,000000,,,0
787,9514,154,São José x São Luiz x Centro,,3,,4f4f4f,ffffff,,,0
787,9515,88,Linha Boemios x Farroupilha,,3,,2e8b57,ffffff,,,0
787,9516,75,Farroupilha x Linha Boemios,,3,,8f8f8f,ffffff,,,0
787,9517,89,Linha Machadinho x Nova Milano,,3,,fff5ee,000000,,,0
787,9518,99,Nova Milano x Machadinho,,3,,8b3a62,ffffff,,,0
787,9519,163,Vitória x 1º de Maio x Praça,,3,,eee9e9,000000,,,0
787,9521,114,Praça x Belvedere x Industrial x Praça,,3,,cdc0b0,000000,,,0
787,9522,105,Praça x 1º de Maio x Praça,,3,,ffaeb9,000000,,,0
787,9523,128,Praça x Industrial x Belvedere x Praça,,3,,cdaa7d,000000,,,0
787,9524,112,Praça x Belvedere x Balneário x Praça,,3,,9ac0cd,000000,,,0
787,9525,103,Praça x 1º de Maio x Monte Verde,,3,,ff7256,000000,,,0
787,9526,97,Monte Verde x 1º de Maio x Praça,,3,,8b7d7b,ffffff,,,0
787,9527,126,Praça x Industrial,,3,,27408b,ffffff,,,0
787,9528,66,Estudantes: Pio X x Fanton x América,,3,,b0c4de,000000,,,0
787,9529,73,Farroupilha x Caravaggio,,3,,b3ee3a,000000,,,0
787,9530,27,Caravaggio x Belvedere x Farroupilha,,3,,ee5c42,000000,,,0
787,9531,108,Praça x Alvorada,,3,,b23aee,000000,,,0
787,9532,11,Alvorada x Centro,,3,,e066ff,000000,,,0
787,9534,74,Farroupilha x Caravaggio x Balneário x Praça,,3,,ee7600,000000,,,0
787,9535,77,Imigrante x São José x Praça,,3,,ff6a6a,000000,,,0
787,9536,102,Praça x 1º de Maio x Industrial,,3,,8b8b83,ffffff,,,0
787,9537,62,Estudantes: Industrial x Fanton x Pio X,,3,,8b0000,ffffff,,,0
787,9538,161,Vitória x 1º de Maio x Centro,,3,,cd00cd,000000,,,0
787,9539,145,Praça x Vicentina x São José,,3,,c9c9c9,000000,,,0
787,9540,152,São José x Centro,,3,,eee9bf,000000,,,0
787,9541,125,Praça x Imigrante x São José,,3,,cd69c9,000000,,,0
787,9542,134,Praça x Medianeira,,3,,b2dfee,000000,,,0
787,9543,93,Medianeira x Praça,,3,,6a5acd,ffffff,,,0
787,9544,132,Praça x Ipanema x Medianeira,,3,,32cd32,000000,,,0
787,9546,142,Praça x São José,,3,,666666,ffffff,,,0
787,9547,153,São José x Praça,,3,,ffe7ba,000000,,,0
787,9548,146,Praça x Vitória,,3,,458b00,000000,,,0
787,9549,164,Vitória x Praça,,3,,ff3030,000000,,,0
787,9550,1,1º de Maio x Centro x Biamar,,3,,1d31f7,ffffff,,,0
787,9551,60,Estudantes: Cruzeiro x Presidente Dutra e São Roque,,3,,9932cc,ffffff,,,0
787,9552,117,Praça x Centenário x industrial,,3,,ffb5c5,000000,,,0
787,9553,94,Monte Pasqual x Industrial x Centro,,3,,d02090,000000,,,0
787,9554,81,Industrial x Praça,,3,,1f1f1f,ffffff,,,0
