runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_5988_b_6309_d_127,12525,1,1,t_267471_b_6309_tn_0,2439105,t_267471_b_6309_tn_0,2429823
100002,c_5988_b_6309_d_31,12506,2,1,t_201970_b_6309_tn_0,2429823,t_211479_b_6309_tn_0,2429944
100003,c_5988_b_6309_d_31,12507,3,1,t_540197_b_6309_tn_0,2506296,t_540192_b_6309_tn_0,2429823
100004,c_5988_b_6309_d_31,12510,4,1,t_540211_b_6309_tn_0,2429714,t_540255_b_6309_tn_0,2429597
100005,c_5988_b_6309_d_31,12511,5,1,t_535786_b_6309_tn_0,2429823,t_201990_b_6309_tn_0,2429836
100006,c_5988_b_6309_d_31,12512,6,1,t_540214_b_6309_tn_0,2506298,t_540162_b_6309_tn_0,2429823
100007,c_5988_b_6309_d_31,12513,7,1,t_540248_b_6309_tn_0,2429972,t_209062_b_6309_tn_0,2429823
100008,c_5988_b_6309_d_31,12515,8,1,t_540112_b_6309_tn_0,2429823,t_539974_b_6309_tn_0,2429823
100009,c_5988_b_6309_d_31,12516,9,1,t_537803_b_6309_tn_0,2429856,t_247631_b_6309_tn_0,2429823
100010,c_5988_b_6309_d_31,12517,10,1,t_539593_b_6309_tn_0,2429693,t_247677_b_6309_tn_0,2429823
100011,c_5988_b_6309_d_31,12518,11,1,t_538044_b_6309_tn_0,2429823,t_202014_b_6309_tn_0,2429823
100012,c_5988_b_6309_d_31,12519,12,1,t_539732_b_6309_tn_0,2429972,t_255238_b_6309_tn_0,2429823
100013,c_5988_b_6309_d_31,12520,13,1,t_537830_b_6309_tn_0,2440007,t_216551_b_6309_tn_0,2429823
100014,c_5988_b_6309_d_31,12521,14,1,t_535747_b_6309_tn_0,2429823,t_540257_b_6309_tn_0,2429823
100015,c_5988_b_6309_d_31,12522,15,1,t_537982_b_6309_tn_0,2429823,t_536169_b_6309_tn_0,2429823
100016,c_5988_b_6309_d_31,12523,16,1,t_240771_b_6309_tn_0,2429823,t_209721_b_6309_tn_0,2429823
100017,c_5988_b_6309_d_31,12524,17,1,t_540204_b_6309_tn_0,2506297,t_209752_b_6309_tn_0,2435047
100018,c_5988_b_6309_d_31,12525,18,1,t_214577_b_6309_tn_0,2429823,t_225494_b_6309_tn_0,2436496
100019,c_5988_b_6309_d_31,12526,19,1,t_247683_b_6309_tn_0,2429823,t_211534_b_6309_tn_0,2429814
100020,c_5988_b_6309_d_31,12527,20,1,t_290996_b_6309_tn_0,2429823,t_208846_b_6309_tn_0,2429823
100021,c_5988_b_6309_d_31,12528,21,1,t_537831_b_6309_tn_0,2429823,t_225885_b_6309_tn_0,2429823
100022,c_5988_b_6309_d_31,12529,22,1,t_212734_b_6309_tn_0,2429823,t_405818_b_6309_tn_0,2484511
100023,c_5988_b_6309_d_31,12530,23,1,t_405820_b_6309_tn_0,2429823,t_405869_b_6309_tn_0,2429823
100024,c_5988_b_6309_d_31,12531,24,1,t_209541_b_6309_tn_0,2429823,t_236118_b_6309_tn_0,2429823
100025,c_5988_b_6309_d_31,12532,25,1,t_539692_b_6309_tn_0,2506211,t_225521_b_6309_tn_0,2429823
100026,c_5988_b_6309_d_32,12506,26,1,t_211482_b_6309_tn_0,2429944,t_211482_b_6309_tn_0,2429823
100027,c_5988_b_6309_d_32,12534,27,1,t_539352_b_6309_tn_0,2429823,t_539540_b_6309_tn_0,2429823
100028,c_5988_b_6309_d_32,12535,28,1,t_540289_b_6309_tn_0,2429823,t_540280_b_6309_tn_0,2429823
100029,c_5988_b_6309_d_32,12536,29,1,t_536027_b_6309_tn_0,2429823,t_537798_b_6309_tn_0,2429823
100030,c_5988_b_6309_d_32,12537,30,1,t_493710_b_6309_tn_0,2429823,t_212485_b_6309_tn_0,2429823
100031,c_5988_b_6309_d_32,12538,31,1,t_540290_b_6309_tn_0,2429823,t_539274_b_6309_tn_0,2429823
100032,c_5988_b_6309_d_32,12539,32,1,t_211510_b_6309_tn_0,2429823,t_493726_b_6309_tn_0,2429823
100033,c_5988_b_6309_d_32,12540,33,1,t_536664_b_6309_tn_0,2429823,t_537405_b_6309_tn_0,2429823
100034,c_5988_b_6309_d_32,12541,34,1,t_537650_b_6309_tn_0,2506050,t_537650_b_6309_tn_0,2429823
100035,c_5988_b_6309_d_32,12542,35,1,t_537468_b_6309_tn_0,2429823,t_540293_b_6309_tn_0,2429878
100036,c_5988_b_6309_d_32,12544,36,1,t_538301_b_6309_tn_0,2429823,t_538302_b_6309_tn_0,2429962
100037,c_5988_b_6309_d_32,12545,37,1,t_539567_b_6309_tn_0,2429635,t_539570_b_6309_tn_0,2429823
100038,c_5988_b_6309_d_63,12518,38,1,t_538045_b_6309_tn_0,2429887,t_538045_b_6309_tn_0,2429836
100039,c_5988_b_6309_d_64,12543,39,1,t_212481_b_6309_tn_0,2429823,t_212481_b_6309_tn_0,2429823
100040,c_5988_b_6309_d_64,12544,40,1,t_539551_b_6309_tn_0,2429823,t_212488_b_6309_tn_0,2429823
100041,c_5988_b_6309_d_64,12545,41,1,t_539553_b_6309_tn_0,2429823,t_539556_b_6309_tn_0,2429635
100042,c_5988_b_6309_d_64,12546,42,1,t_539557_b_6309_tn_0,2429823,t_539561_b_6309_tn_0,2429635
100043,c_5988_b_6309_d_79,12510,43,1,t_247536_b_6309_tn_0,2430021,t_247536_b_6309_tn_0,2429823
