stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2429586,,,Rua Sao Leopoldo com Rua Montenegro,,-29.22596411,-51.32204711,,,0,,America/Sao_Paulo,,,0
2429587,,,Rua Veranopolis com Rua Montenegro,,-29.22594539,-51.32117808,,,0,,America/Sao_Paulo,,,0
2429588,,,Rua Manoel Pasqual com Rua Bom Jesus,,-29.22405637,-51.32067651,,,0,,America/Sao_Paulo,,,0
2429593,,,Rua  Arthur Pedrotini com Rua Fioravante,,-29.22903749,-51.32036805,,,0,,America/Sao_Paulo,,,0
2429594,,,Rua Porto Alegre com Rua Arthur Pedrotini,,-29.22749965,-51.32046193,,,0,,America/Sao_Paulo,,,0
2429596,,,Rua Veranopolis com Rua Joao Fabro Filho,,-29.22676465,-51.32054508,,,0,,America/Sao_Paulo,,,0
2429597,,,Rua Joao Fabro Filho com Rua Veranopolis,,-29.22675997,-51.32020175,,,0,,America/Sao_Paulo,,,0
2429605,,,Rua Joao Fabro Filho com Rua Manoel Pasqual,,-29.22376377,-51.31413996,,,0,,America/Sao_Paulo,,,0
2429606,,,Rua Manoel Pasqual com Rua Prefeito Joao Grande,,-29.223951178498,-51.313011317473,,,0,,America/Sao_Paulo,,,0
2429607,,,Rua Prefeito Joao Grande com Rua Sergio Luiz Cignachi,,-29.22653292,-51.31287664,,,0,,America/Sao_Paulo,,,0
2429608,,,Rua Prefeito Giacomo Velentin Luchese com Rua Sergio Luiz Cignachi,,-29.22658324,-51.31188154,,,0,,America/Sao_Paulo,,,0
2429610,,,Rua Prefeito Giacomo Valentin Luchese com Rua Millo Ornaghi,,-29.22507696,-51.3118735,,,0,,America/Sao_Paulo,,,0
2429613,,,Rua Manoel Pasqual com Rua Sao Gabriel,,-29.2240989580819,-51.3154764552156,,,0,,America/Sao_Paulo,,,0
2429614,,,Rua Joao Fabrio Filho com Rua Santa Maria,,-29.22275019,-51.31336212,,,0,,America/Sao_Paulo,,,0
2429615,,,Rua Santa Maria com Rua Sao Gabriel,,-29.222479951559,-51.315241055651,,,0,,America/Sao_Paulo,,,0
2429616,,,Rua Santa Maria com Rua Sao Gabriel,,-29.22257463,-51.31554276,,,0,,America/Sao_Paulo,,,0
2429617,,,Rua Santa Maria com Rua Santo Angelo,,-29.22248334,-51.31747931,,,0,,America/Sao_Paulo,,,0
2429619,,,Rua Santo Angelo com Rua Santa Maria,,-29.22263549,-51.31771803,,,0,,America/Sao_Paulo,,,0
2429620,,,Rua Santo Angelo com Rua Sananduva,,-29.22118182,-51.31759733,,,0,,America/Sao_Paulo,,,0
2429621,,,Rua Santo Angelo com Rua Sananduva,,-29.22088687,-51.31775022,,,0,,America/Sao_Paulo,,,0
2429622,,,Rua Rondinha com Rua Jose Maioli,,-29.21956894,-51.31504387,,,0,,America/Sao_Paulo,,,0
2429623,,,Rua Rondinha com Rua Jose Maioli,,-29.21943785,-51.31506801,,,0,,America/Sao_Paulo,,,0
2429624,,,Parada Rodovia dos Romeiros,,-29.188538720176,-51.340173247587,,,0,,America/Sao_Paulo,,,0
2429625,,,Parada rua Bem-Te-Vi,,-29.17376695,-51.34330362,,,0,,America/Sao_Paulo,,,0
2429626,,,parada rua Bem-Te-Vi com a Rodovia dos Romeiros,,-29.17375875,-51.33994684,,,0,,America/Sao_Paulo,,,0
2429627,,,Parada Rua Veneto,,-29.19940234,-51.3344872,,,0,,America/Sao_Paulo,,,0
2429628,,,Parada Rua Veneto,,-29.2033090377906,-51.3364616241267,,,0,,America/Sao_Paulo,,,0
2429629,,,Parada Rua Veneto com a Arthur Weirich Sobrinho,,-29.208101,-51.34169,,,0,,America/Sao_Paulo,,,0
2429630,,,Parada rua Bem-Te-Vi,,-29.17365571,-51.34331837,,,0,,America/Sao_Paulo,,,0
2429631,,,parada rua Bem-Te-Vi com a Rodovia dos Romeiros,,-29.17362643,-51.33987173,,,0,,America/Sao_Paulo,,,0
2429632,,,Estrada Luiz Victório Galafassi,,-29.175905478082,-51.323909031576,,,0,,America/Sao_Paulo,,,0
2429633,,,Rua Veneto,,-29.179185042121,-51.322724462807,,,0,,America/Sao_Paulo,,,0
2429634,,,Rua Veneto,,-29.18912788,-51.32137656,,,0,,America/Sao_Paulo,,,0
2429635,,,Rua Luciano Cortuis com Rua Abramo Feltrin,,-29.20642387,-51.36282742,,,0,,America/Sao_Paulo,,,0
2429636,,,Rua Luciano Cortuis com Rua Abramo Feltrin,,-29.208955538532,-51.362841050556,,,0,,America/Sao_Paulo,,,0
2429637,,,Rua Luciano Cortuis com Rua Abramo Feltrin,,-29.20637237,-51.36290655,,,0,,America/Sao_Paulo,,,0
2429638,,,Rodovia dos Romeiros com Rua Abramo Cláudio Hans+,,-29.20260529,-51.35188401,,,0,,America/Sao_Paulo,,,0
2429639,,,Rodovia dos Romeiros com Rua Alício Octavio Maioli,,-29.20210542,-51.35036319,,,0,,America/Sao_Paulo,,,0
2429640,,,Rodovia dos Romeiros com Rua São João Calábria,,-29.20311101,-51.35338068,,,0,,America/Sao_Paulo,,,0
2429641,,,Rodovia dos Romeiros com Rua São João Calábria,,-29.203281292895,-51.35338430741,,,0,,America/Sao_Paulo,,,0
2429642,,,Rodovia dos Romeiros com São Vicente (IFRS- Campus Farroupilha),,-29.20198952,-51.3483274,,,0,,America/Sao_Paulo,,,0
2429643,,,Rodovia dos Romeiros com São Vicente (IFRS- Campus Farroupilha),,-29.20206913,-51.3480565,,,0,,America/Sao_Paulo,,,0
2429644,,,Rodovia dos Romeiros com Stefano Crippa (Residencial Farroupilha),,-29.20813,-51.354157,,,0,,America/Sao_Paulo,,,0
2429645,,,Rodovia dos Romeiros com Stefano Crippa (SENAI),,-29.20879081,-51.35331362,,,0,,America/Sao_Paulo,,,0
2429646,,,Rodovia dos Romeiros entre Rua João Calábria e Rua Stefano Crippa (Seminário Apostólico Nossa Senhora de Caravaggio),,-29.20570278,-51.35514289,,,0,,America/Sao_Paulo,,,0
2429647,,,Rodovia dos Romeiros entre Rua João Calábria e Rua Stefano Crippa (Seminário Apostólico Nossa Senhora de Caravaggio),,-29.20614527,-51.35494977,,,0,,America/Sao_Paulo,,,0
2429648,,,Rodovia dos Romeiros entre Rua São Vicente e Rua Alício Octavio Maioli,,-29.20186,-51.349102,,,0,,America/Sao_Paulo,,,0
2429649,,,Rodovia dos Romeiros entre Rua Stefano Crippa e Rua São João Calábria,,-29.208107,-51.354482,,,0,,America/Sao_Paulo,,,0
2429650,,,Rua Abramo Feltrin entre Rua Pedro Marcheto e Rua Cristiano Antônio Frederico Fetter,,-29.20624711,-51.36103034,,,0,,America/Sao_Paulo,,,0
2429651,,,Rua Abramo Feltrin entre Rua Pedro Marcheto e Rua Cristiano Antônio Frederico Fetter,,-29.206342,-51.361035,,,0,,America/Sao_Paulo,,,0
2429652,,,Rua Anselmo Schet com Rua Vitório Fagherazzi,,-29.20612,-51.344206,,,0,,America/Sao_Paulo,,,0
2429653,,,Rua Anselmo Schet com Rua Vitório Fagherazzi,,-29.206065,-51.344289,,,0,,America/Sao_Paulo,,,0
2429654,,,Rua Colorado com Rua Josué A. Minella,,-29.204689,-51.359895,,,0,,America/Sao_Paulo,,,0
